feature,gain,split
num_anchors,234711.31022065377,2683
principal_ratio,202821.89575368803,3251
longest_segment_length,155115.82378152263,2825
poly_area,102056.57911998703,270
bbox_area,82029.75151623602,2224
size_rel_to_artboard,77332.13232417105,2266
fill_r,66500.56362683866,996
perimeter,59794.69098539696,3525
knn_dist_1,47749.82253195885,3657
knn_dist_3,42420.16630003792,2754
dist_to_runway,29335.005282128037,2461
aligned_neighbor_count,26510.914461647422,2122
bbox_area_rel,24780.89535863864,628
inside_runway_bbox,24565.900930082527,693
knn_dist_5,20812.947829260895,2045
dist_to_taxiway,18486.924547168925,3249
principal_angle,17464.87517190084,2248
centroid_norm_y,15570.426271144888,2597
local_density,15494.45769105551,2224
similar_neighbor_count,15143.419973186876,1733
aspect,13321.961135169648,2129
knn_dist_10,11224.700545671602,1812
longest_segment_angle,10711.76865362709,1909
closed,9431.810052873723,20
width,8935.369706957299,1970
centroid_norm_x,8830.438360462955,2187
height,8231.032450209781,1762
lateral_offset_runway,4762.995396719101,1525
angle_to_runway,4607.987799328265,1061
longitudinal_offset_runway,4310.037483877118,1272
runway_axis_position,4270.346132190209,1482
angle_to_taxiway,3154.64064630352,1267
stroke_r,2872.3407985016015,432
parallelism_to_runway,2849.5621949129463,716
filled,2643.287454370022,196
fill_g,2577.483950159418,84
parallelism_to_taxiway,2475.7160627400813,875
inside_taxiway_bbox,950.7354426080149,276
stroked,855.6825612256285,134
subpath_count,604.3244056810471,106
fill_kind,475.6404269166561,60
perp_to_runway,422.81811398630487,97
kind,293.80378562115186,143
stroke_width,224.58868437674965,218
stroke_kind,140.96804276642416,57
stroke_g,127.07964458701052,53
fill_b,43.05594219386843,11
stroke_b,14.110527273907792,5
dist_to_runway_edge,0.0,0
angle_to_runway_edge,0.0,0
parallelism_to_runway_edge,0.0,0
dist_to_taxiway_edge,0.0,0
angle_to_taxiway_edge,0.0,0
parallelism_to_taxiway_edge,0.0,0
