feature,gain,split
dist_to_runway_edge,174045.85810231708,3400
num_anchors,162892.51828663182,1710
fill_r,121102.69004582179,485
longest_segment_length,106536.60132059494,1484
size_rel_to_artboard,92746.29808300767,1336
perimeter,89077.59632510915,1822
principal_ratio,89027.67582913648,1853
bbox_area,86137.24400685362,1699
poly_area,72160.84573425578,246
knn_dist_3,62582.23147185768,1668
dist_to_taxiway_edge,37305.677872087304,1406
knn_dist_1,36216.57928900502,1828
bbox_area_rel,35427.67801938866,403
aspect,33653.31445285487,1288
aligned_neighbor_count,29272.387082885354,1023
knn_dist_5,24233.445411552242,1349
local_density,22810.248453622557,1021
inside_runway_bbox,21285.740915493872,462
dist_to_taxiway,19398.325984823834,962
similar_neighbor_count,18959.284983866266,851
angle_to_runway_edge,18519.54252116773,1001
dist_to_runway,16581.46834557445,823
fill_g,14083.388702261127,63
angle_to_taxiway_edge,13295.91004074186,766
centroid_norm_y,12932.209752748078,1221
width,11071.463147628487,1134
knn_dist_10,10089.921113567172,884
centroid_norm_x,9373.417967800486,969
principal_angle,9323.738126674845,895
parallelism_to_runway_edge,8394.638433797478,577
longest_segment_angle,7715.455742663598,788
parallelism_to_taxiway_edge,7417.5838962138105,455
height,7390.188094971122,746
stroked,6708.521044966624,75
lateral_offset_runway,6221.9505613425035,597
angle_to_runway,5038.348984800738,550
inside_taxiway_bbox,4169.218389199623,241
runway_axis_position,4062.1734641343555,655
angle_to_taxiway,3588.919595579073,510
longitudinal_offset_runway,3286.997689857042,533
stroke_r,3031.0109987509973,193
parallelism_to_runway,2533.401829194518,296
parallelism_to_taxiway,1969.616523980851,339
stroke_kind,1163.1263558007797,18
kind,971.8205154951672,65
filled,928.8472225064673,92
closed,585.7460974547205,21
subpath_count,379.6313531308198,50
fill_kind,295.6580443820457,57
stroke_width,223.06408108982106,59
perp_to_runway,169.0203908828622,25
stroke_g,81.82878097368058,22
fill_b,9.45691247974446,2
stroke_b,3.266999826223582e-08,1
pdf_word_length,0.0,0
pdf_word_dist,0.0,0
pdf_inside_word_bbox,0.0,0
