feature,gain,split
pdf_text_match,332928.5754105449,203
num_anchors,162929.253757605,2246
principal_ratio,159781.59217619122,2692
longest_segment_length,153721.96071488495,2233
poly_area,109426.27681154563,364
fill_r,59479.19544225537,956
knn_dist_1,55674.889651648045,2998
pdf_word_dist,54614.15213906431,3737
size_rel_to_artboard,45912.55935736694,1360
dist_to_runway_edge,21875.779399695675,3075
pdf_word_length,21688.90634762945,1146
knn_dist_3,17995.350381793243,1981
similar_neighbor_count,16839.409456831723,1118
fill_g,16344.76351366404,116
bbox_area,14554.659902990696,1510
aspect,14324.908147399798,1413
perimeter,11987.13429597929,1952
closed,10567.739893472894,20
principal_angle,8007.610482723618,1847
local_density,7221.554367093477,1576
height,5976.966516916092,1463
dist_to_taxiway_edge,5682.267678005357,1791
knn_dist_10,5282.700703998385,1341
width,5037.686824759501,1659
knn_dist_5,4788.21855344914,1580
pdf_inside_word_bbox,4658.369374965899,176
aligned_neighbor_count,4522.601278445012,912
angle_to_runway_edge,3677.319791195656,1067
stroked,3469.0317267081327,83
dist_to_taxiway,3458.780458832006,1525
fill_b,3331.6861063931915,9
bbox_area_rel,3329.559980868853,361
filled,3028.3080651998207,155
angle_to_taxiway,2190.25629801735,1038
centroid_norm_x,2033.7408731252813,1691
centroid_norm_y,2032.3978075688826,1623
parallelism_to_runway_edge,2000.4216390163153,754
longest_segment_angle,1676.34289886878,1138
dist_to_runway,1644.5500805253137,1164
stroke_r,1625.9747742116426,302
inside_runway_bbox,1609.4126465312856,336
parallelism_to_taxiway,1554.621982315645,752
angle_to_taxiway_edge,1465.6595567868787,1030
lateral_offset_runway,1153.3330288132966,1061
runway_axis_position,1036.5077029733263,1053
longitudinal_offset_runway,910.9151488058973,934
stroke_kind,879.7291325676238,35
angle_to_runway,867.6099184763859,823
parallelism_to_taxiway_edge,849.1937161411796,804
parallelism_to_runway,696.8018123994922,502
subpath_count,575.1449134770631,136
inside_taxiway_bbox,521.3031231720676,72
stroke_width,266.91134209602143,88
stroke_g,218.77226664208948,35
kind,212.4570866452289,164
fill_kind,193.48957045033683,46
perp_to_runway,83.98031939650545,61
stroke_b,0.7733833523371914,5
