feature,gain,split
knn_dist_1,1041506.4343773018,2270
parallelism_to_taxiway,884434.0643670057,466
aspect,570513.1484283109,1187
bbox_area,551725.082886195,1713
similar_neighbor_count,431740.13678220875,852
knn_dist_10,340705.9053657969,1097
principal_angle,325825.6425319604,1221
local_density,290779.40050545026,1550
runway_axis_position,262822.80478090554,805
dist_to_runway,242493.18004106623,1755
longest_segment_angle,225776.75467421286,1033
principal_ratio,173341.39842755432,1883
width,135181.48555438593,1023
fill_r,104125.94293984119,622
dist_to_taxiway,90034.64726829033,2194
centroid_norm_x,88542.54320559865,1242
knn_dist_3,80540.8369318771,1920
angle_to_taxiway,60209.45969974932,674
perimeter,56764.49047520101,1826
height,46208.98420369124,1031
longest_segment_length,45568.00296827667,1532
aligned_neighbor_count,33073.526080231815,1232
num_anchors,29546.07663324823,1620
knn_dist_5,26155.0234840406,1310
size_rel_to_artboard,24291.828107589907,1304
lateral_offset_runway,23874.93747727279,1044
parallelism_to_runway,17782.065712523156,438
stroke_width,16358.420198111995,72
centroid_norm_y,14899.756387703193,1439
bbox_area_rel,12805.015736129,527
angle_to_runway,6616.338151348945,629
stroked,5346.440305421349,78
poly_area,4893.0735050458525,132
inside_runway_bbox,4510.972648850176,404
longitudinal_offset_runway,3759.6078288512085,607
stroke_r,1358.823471363035,238
stroke_kind,1328.930341152377,29
perp_to_runway,1136.4193427766772,48
inside_taxiway_bbox,953.2561566226924,128
closed,536.4610795011737,11
filled,413.26626046355653,53
fill_b,311.93387632466005,5
kind,289.5116529407552,99
fill_g,243.93296184240134,39
subpath_count,178.46276288958907,62
stroke_g,95.23485058485947,30
fill_kind,49.43234675582173,32
stroke_b,3.1499500892095966e-06,1
dist_to_runway_edge,0.0,0
angle_to_runway_edge,0.0,0
parallelism_to_runway_edge,0.0,0
dist_to_taxiway_edge,0.0,0
angle_to_taxiway_edge,0.0,0
parallelism_to_taxiway_edge,0.0,0
