feature,gain,split
convexity,494841.41141335753,798
poly_area,147061.3157059893,917
principal_ratio,135494.73273686506,947
fill_r,97555.56390606353,628
knn_dist_1,31764.585880620252,1056
fill_b,26748.84226603492,348
circularity,22987.7079354082,839
hull_area_rel,20200.906618488818,503
rectangularity,15090.461857956769,522
longest_segment_length,11491.681138871807,589
fill_g,10336.923517712079,277
width,8946.064801345916,265
size_rel_to_artboard,8142.608343914612,606
hull_area,7116.693069055018,320
bbox_area_rel,6183.24801817592,453
num_anchors,6121.774986989404,558
perimeter,5880.939236290562,345
dist_to_runway_edge,5244.328185015889,510
shape_index,4917.354646018301,365
dist_to_taxiway_edge,4803.9136125810055,702
centroid_norm_x,3433.2115261940717,481
vertex_density,3287.3852434590153,312
longest_segment_angle,3110.729828713219,303
knn_dist_5,3076.2399068613527,266
centroid_norm_y,3059.9454130267227,442
inside_taxiway_bbox,2999.4690183447,214
similar_neighbor_count,2975.6290724457385,476
dist_to_taxiway,2974.601319133398,501
principal_angle,2847.190837551095,489
inside_runway_bbox,2699.885283120194,156
bbox_area,2016.5528282152159,218
aspect,1837.8457113853967,263
local_density,1549.5856266129438,382
stroke_b,1493.228736391632,51
angle_to_taxiway_edge,1383.2010292912107,211
dist_to_runway,1257.7134734138344,294
knn_dist_3,1255.9361833824892,301
height,1250.5987021364183,215
lateral_offset_runway,1227.3774341295075,181
runway_axis_position,1114.40725619063,258
aligned_neighbor_count,1056.4421279240769,156
knn_dist_10,958.3117079081703,219
kind,856.2101608362321,97
anchor_log,673.1881016653515,56
angle_to_runway_edge,629.9306561640219,152
stroke_r,544.6837983700065,122
parallelism_to_taxiway_edge,511.8508080276433,151
stroke_width,431.1770353924113,128
parallelism_to_runway_edge,419.928827677303,93
angle_to_taxiway,317.0943680223324,125
parallelism_to_taxiway,269.44032473637395,82
longitudinal_offset_runway,227.29228320331433,94
parallelism_to_runway,210.12685120867215,67
angle_to_runway,196.18592396292553,86
subpath_count,178.51512360448186,25
fill_kind,125.23901127673666,4
filled,88.25198747740319,3
stroked,49.60323131653098,18
stroke_kind,39.601279497146606,11
stroke_g,31.18894054862299,34
perp_to_runway,25.39798972232864,10
closed,0.0,0
