,pred_Taxiways,pred_Footprints,pred_Runways,pred_Lights,pred_Taxiway Labels,pred_Runway Labels,pred_Stars,pred_Other
true_Taxiways,384,0,1,0,1,0,0,28
true_Footprints,5,793,1,0,20,0,3,81
true_Runways,0,1,64,0,0,0,0,0
true_Lights,0,0,0,214,0,0,1,73
true_Taxiway Labels,0,2,0,0,1418,13,0,274
true_Runway Labels,0,1,0,0,46,87,0,115
true_Stars,0,0,0,0,0,0,21,2
true_Other,198,102,0,13,189,14,0,31295
