feature,gain,split
pdf_text_match,429659.3877058029,193
fill_r,129751.89162343027,601
longest_segment_length,95954.28222028087,1592
num_anchors,75092.637305482,1485
principal_ratio,66468.7092025619,2045
poly_area,58612.60491762481,272
perimeter,57783.727842446606,1431
dist_to_runway_edge,50872.4786454344,3197
stroked,47168.84893932353,84
pdf_inside_word_bbox,44134.98349354289,117
pdf_word_dist,43195.70804175417,2928
pdf_word_length,42523.591910813935,1397
bbox_area,38098.61749315557,1244
fill_g,36152.09073685711,84
size_rel_to_artboard,35226.30135931321,1067
local_density,21023.02325594909,1167
aspect,20993.635777044463,1106
dist_to_taxiway_edge,19498.06967367995,1423
knn_dist_3,17252.228574331242,1563
knn_dist_1,16748.454369865707,2137
similar_neighbor_count,15956.149020806055,832
bbox_area_rel,14582.136524143712,275
knn_dist_10,14512.8803456494,978
aligned_neighbor_count,13993.490885460364,670
dist_to_taxiway,9699.568036157114,1191
knn_dist_5,8849.493353495087,1096
fill_b,8740.815525929152,5
width,8570.964226684331,1409
angle_to_runway_edge,7355.23260214861,814
angle_to_taxiway_edge,6552.167518157202,628
stroke_kind,5901.913120068828,25
closed,5569.3719799319815,18
centroid_norm_y,5361.917901366011,1028
height,5007.607869416978,1022
centroid_norm_x,4361.9542864794785,991
lateral_offset_runway,4338.360145977486,530
longest_segment_angle,4048.493366238383,737
dist_to_runway,3993.1954518571274,949
principal_angle,3793.9924687112516,995
angle_to_runway,3516.324644577066,646
parallelism_to_runway_edge,3397.7979678466754,474
inside_runway_bbox,3293.297864135829,284
angle_to_taxiway,2505.123931365314,562
runway_axis_position,2342.164908303219,659
parallelism_to_taxiway_edge,2037.7830690172157,440
longitudinal_offset_runway,1793.3219510514048,534
parallelism_to_taxiway,1585.3538478261169,370
parallelism_to_runway,1429.2421540924715,309
inside_taxiway_bbox,1369.7176891742934,82
stroke_r,884.4786525382849,278
filled,818.8365462430423,101
kind,439.79825554316614,144
subpath_count,387.4728649986268,68
fill_kind,286.8745260776586,45
perp_to_runway,220.9111790364487,37
stroke_width,175.58973420274086,55
stroke_g,127.43740426177278,36
stroke_b,1.8957900138616424e-08,1
