feature,gain,split
num_anchors,240800.0203366342,2651
principal_ratio,165731.71635864445,2686
longest_segment_length,152647.95276777458,2417
poly_area,116049.29271474986,246
bbox_area,90708.70515527751,1906
dist_to_runway_edge,86861.51535316811,4130
size_rel_to_artboard,84817.5079298695,1824
knn_dist_1,55169.18047160847,3147
fill_r,53678.91868303467,760
perimeter,50115.449233145446,2807
knn_dist_3,39758.71677609182,2337
inside_runway_bbox,25961.135032349754,624
aligned_neighbor_count,16340.278859645216,1377
dist_to_taxiway_edge,14715.572320760903,2131
bbox_area_rel,14301.11831723065,404
knn_dist_5,13343.487219677636,1559
principal_angle,13070.312591582015,1561
similar_neighbor_count,12749.188555987668,1277
angle_to_runway_edge,12185.55498506193,1287
aspect,11447.817339775322,1481
local_density,11382.698320792968,1809
dist_to_runway,8792.132329409442,1457
fill_g,8526.261765488616,97
width,8392.609295023516,1757
knn_dist_10,8111.727475311614,1484
centroid_norm_y,7615.712649918845,2194
longest_segment_angle,6793.339378675276,1437
centroid_norm_x,6780.570042004455,1736
dist_to_taxiway,6393.06470616755,1648
height,5915.325916052019,1353
lateral_offset_runway,4685.546403177953,1158
angle_to_taxiway_edge,4132.186409942603,1165
parallelism_to_runway_edge,3949.325626258531,782
filled,2443.0673787829396,230
stroke_r,2334.2760877028068,330
angle_to_taxiway,2313.2821412243156,957
parallelism_to_taxiway_edge,2272.520740790685,797
angle_to_runway,2108.5216445691085,754
inside_taxiway_bbox,1988.6146620081697,195
parallelism_to_taxiway,1978.4537199337692,710
runway_axis_position,1933.7077500420855,1226
longitudinal_offset_runway,1896.782814326811,1032
parallelism_to_runway,1599.0416221113271,553
stroked,1392.8685218142305,124
closed,960.7646253462168,13
fill_kind,522.6616552723424,93
subpath_count,356.62336634532653,108
stroke_g,303.9515816563404,33
kind,238.36793573180046,106
stroke_width,192.6379285225951,285
stroke_kind,142.57850115817533,52
perp_to_runway,74.09601477569399,52
fill_b,14.475500106811523,1
stroke_b,0.0,0
