,pred_Taxiways,pred_Footprints,pred_Runways,pred_Lights,pred_Taxiway Labels,pred_Runway Labels,pred_Stars,pred_Other
true_Taxiways,385,0,0,0,0,0,0,29
true_Footprints,8,835,1,0,1,1,3,54
true_Runways,0,1,63,0,0,0,0,1
true_Lights,0,0,0,200,0,1,1,86
true_Taxiway Labels,0,33,0,0,1550,3,0,121
true_Runway Labels,0,5,0,0,3,212,0,29
true_Stars,0,0,0,0,0,0,22,1
true_Other,223,169,1,9,151,94,1,31163
