feature,gain,split
pdf_text_match,400145.3999686241,151
fill_r,161596.45914689847,623
longest_segment_length,77084.85574070418,1731
perimeter,72324.08690311616,1575
principal_ratio,69903.42804358789,2142
num_anchors,68800.23711479144,1506
poly_area,68175.32328699488,290
pdf_word_length,59010.82054854114,1325
dist_to_runway_edge,55150.10947360211,3318
stroked,44090.85806227963,100
pdf_word_dist,41410.581709285216,2849
pdf_inside_word_bbox,40720.79617454969,119
bbox_area,39064.31432842516,1388
size_rel_to_artboard,38809.95520716009,1121
aspect,21800.521401729155,973
local_density,20875.555240977337,1229
dist_to_taxiway_edge,17664.51438764188,1355
knn_dist_3,15583.769793352136,1598
knn_dist_10,15154.37268304628,932
taxiway_label_signature,14094.72981608806,179
knn_dist_1,13872.258905452356,2079
similar_neighbor_count,13138.398505896812,822
aligned_neighbor_count,13009.671590450816,708
bbox_area_rel,12874.818982894643,288
dist_to_taxiway,10277.853889488071,1139
knn_dist_5,10173.65733464481,1187
width,9314.503030757787,1349
stroke_kind,7737.561323530159,32
angle_to_taxiway_edge,7570.08628880803,675
angle_to_runway_edge,7481.560729954283,885
lateral_offset_runway,6875.579501084601,633
dist_to_runway,6365.646893553797,969
fill_g,6330.352255789619,68
runway_label_signature,6176.650914778766,360
centroid_norm_y,5777.104997759071,1117
height,5544.196980308539,1073
principal_angle,4197.58519235126,1043
inside_runway_bbox,4189.853991217955,325
longest_segment_angle,3764.191198035485,701
parallelism_to_runway_edge,3598.9748609645367,487
centroid_norm_x,3446.843376893708,1053
angle_to_runway,2952.4654449868226,608
closed,2600.83289011882,31
angle_to_taxiway,2404.6350709800763,570
runway_axis_position,2285.463928423576,739
parallelism_to_taxiway_edge,2056.427327561887,423
parallelism_to_runway,1637.157044123655,345
inside_taxiway_bbox,1626.3551746293476,67
longitudinal_offset_runway,1587.9905081051884,539
stroke_r,1351.9204226148145,254
parallelism_to_taxiway,1135.4478354153416,357
fill_kind,519.000707380793,48
filled,484.11026486660876,98
kind,458.07808415244034,170
subpath_count,240.19694918418517,60
stroke_width,158.2858942308511,58
perp_to_runway,153.66768319583986,33
fill_b,78.29935133574455,6
stroke_g,59.64656977039448,17
stroke_b,40.29853963851929,4
