,pred_Taxiways,pred_Footprints,pred_Runways,pred_Lights,pred_Taxiway Labels,pred_Runway Labels,pred_Stars,pred_Other
true_Taxiways,389,0,0,0,0,0,0,25
true_Footprints,7,832,1,0,0,1,3,59
true_Runways,0,1,63,0,0,0,0,1
true_Lights,0,0,0,210,0,0,1,77
true_Taxiway Labels,0,32,0,0,1557,2,0,116
true_Runway Labels,0,5,0,0,10,189,0,45
true_Stars,0,0,0,0,0,0,22,1
true_Other,230,166,1,5,156,68,0,31185
