feature,gain,split
pdf_word_length,167609.6069386885,1277
fill_r,144056.42859717374,601
taxiway_label_signature,115534.51807336957,343
runway_label_signature,107513.02115244215,521
longest_segment_length,103646.61308798435,1847
num_anchors,76140.36976161721,1452
pdf_word_dist,74863.15672976912,2742
principal_ratio,72962.83177149655,2145
dist_to_runway_edge,72928.83481514704,2992
perimeter,66780.16635318348,1519
poly_area,52847.399808876675,236
pdf_inside_word_bbox,48802.66611282616,99
bbox_area,42403.82752107584,1561
stroked,32426.29265146054,83
size_rel_to_artboard,29800.54988973585,1063
knn_dist_1,23923.496097473184,1929
dist_to_taxiway_edge,21381.87577863225,1301
bbox_area_rel,20996.400296067968,331
knn_dist_3,20426.01402151782,1500
fill_g,20283.691319749993,44
local_density,18754.138561702064,1044
closed,18658.47977728837,25
aligned_neighbor_count,15792.492332118021,690
similar_neighbor_count,13694.416548126726,797
knn_dist_10,13157.592615987236,912
dist_to_taxiway,12952.062639485654,1231
knn_dist_5,9387.528081824228,1100
aspect,8804.695428969151,1043
width,8178.006230315382,1232
angle_to_runway_edge,7612.006762208818,774
inside_runway_bbox,7586.270313697587,353
principal_angle,6973.709028986325,915
angle_to_taxiway_edge,6586.143734473418,661
height,6115.431082886574,840
centroid_norm_y,6021.251044097256,969
centroid_norm_x,5867.262020987654,964
longest_segment_angle,5674.832378744807,723
dist_to_runway,5438.71431623796,888
stroke_kind,4677.435269188951,31
lateral_offset_runway,4037.1182346991736,602
parallelism_to_taxiway_edge,3918.205623822416,439
parallelism_to_runway_edge,3496.26570669419,474
angle_to_runway,3061.086944372475,610
longitudinal_offset_runway,2306.8761251645087,436
runway_axis_position,2148.9324155905942,747
parallelism_to_taxiway,1679.1146511124407,348
parallelism_to_runway,1631.4041087082721,308
angle_to_taxiway,1584.0448916856863,540
inside_taxiway_bbox,1556.3112023548422,117
fill_b,1336.6625407834072,4
kind,983.2932498413504,142
stroke_r,943.0053962523065,139
filled,510.7473332210952,81
perp_to_runway,260.4695999190906,38
subpath_count,175.8313719179447,60
stroke_width,159.4633561053301,44
fill_kind,147.20792298612957,41
stroke_g,122.62419863945833,15
stroke_b,34.13192939758301,2
