,pred_Taxiways,pred_Footprints,pred_Runways,pred_Lights,pred_Taxiway Labels,pred_Runway Labels,pred_Stars,pred_Other
true_Taxiways,395,4,1,0,0,0,0,14
true_Footprints,7,836,1,0,1,0,3,55
true_Runways,0,1,63,0,0,0,0,1
true_Lights,0,0,0,243,0,0,1,44
true_Taxiway Labels,0,33,0,0,1571,4,0,99
true_Runway Labels,0,5,0,0,6,217,0,21
true_Stars,0,0,0,0,0,0,22,1
true_Other,232,184,1,20,182,123,0,31069
