,pred_Taxiways,pred_Footprints,pred_Runways,pred_Lights,pred_Taxiway Labels,pred_Runway Labels,pred_Stars,pred_Other
true_Taxiways,398,3,0,0,0,0,0,13
true_Footprints,6,842,1,0,1,1,3,49
true_Runways,0,1,64,0,0,0,0,0
true_Lights,0,0,0,242,0,0,1,45
true_Taxiway Labels,0,30,0,0,1583,3,0,91
true_Runway Labels,0,5,0,0,9,210,0,25
true_Stars,0,0,0,0,0,0,22,1
true_Other,209,171,1,24,170,111,1,31124
